"typ";"leitidee";"thema";"definition";"beispiel_id";"status"
"Behauptung prüfen";"";"";"Eine vorgegebene Aussage rechnerisch oder argumentativ als wahr oder falsch nachweisen; leitideenübergreifend, tritt nur als typ_neben auf.";"2025-OS-K3b";"gültig"
"Kreisdiagramm zeichnen";"Daten und Zufall";"Daten darstellen";"Anteil in Prozent in den Mittelpunktswinkel umrechnen und als Sektor in einen Kreis eintragen.";"2025-OS-K6b";"gültig"
"Mittelpunktswinkel berechnen";"Daten und Zufall";"Daten darstellen";"Mittelpunktswinkel eines Anteils im Kreisdiagramm aus Teil und Ganzem berechnen. Baustein von „Kreisdiagramm zeichnen“.";"2024-OS-K2c";"gültig"
"Säulendiagramm ergänzen";"Daten und Zufall";"Daten darstellen";"Fehlende Säule mit gegebenem Wert in ein Säulendiagramm mit vorgegebener Skala einzeichnen.";"2026-FOR-K3d";"gültig"
"Achsenskalierung aus Säule bestimmen";"Daten und Zufall";"Diagramme lesen und beurteilen";"Aus einer Säule mit bekanntem Wert die fehlende Einteilung der Achse ermitteln und weitere Säulen zuordnen.";"2023-OS-K6d";"neu"
"Aussage zu Diagramm prüfen";"Daten und Zufall";"Diagramme lesen und beurteilen";"Eine Behauptung über Verlauf oder Veränderung in einem Diagramm anhand der Werte als wahr oder falsch begründen.";"2022-OS-K4c";"neu"
"Sektor im Kreisdiagramm zuordnen";"Daten und Zufall";"Diagramme lesen und beurteilen";"Einen unbeschrifteten Sektor eines Kreisdiagramms anhand der Anteile einer Tabelle identifizieren.";"2024-OS-K2c";"gültig"
"Verzerrung eines Diagramms erklären";"Daten und Zufall";"Diagramme lesen und beurteilen";"Erklären, warum ein Diagramm (abgeschnittene Achse, Skalierung) einen falschen Eindruck erzeugt.";"2026-FOR-K3e";"gültig"
"Arithmetisches Mittel berechnen";"Daten und Zufall";"Kenngrößen";"Durchschnitt einer Datenliste berechnen.";"2025-OS-K6c";"gültig"
"Fehlenden Wert aus Mittelwert bestimmen";"Daten und Zufall";"Kenngrößen";"Aus dem Mittelwert und den übrigen Werten einer Liste den fehlenden Wert berechnen.";"2022-OS-B1d";"neu"
"Kenngrößen einer Liste prüfen";"Daten und Zufall";"Kenngrößen";"Aussagen zu Spannweite, Modalwert, Median oder Mittelwert einer Datenliste prüfen und korrigieren.";"2025-OS-K6a";"gültig"
